year,series_name,match_type,match_no,match_date,match_winning_team,match_toss,innings,ball_no,over_no,ball_commentary
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,16,1,"5.45pm IST: There's a lot riding on this tournament for the players as they gear up for the T20 World Cup later this year. A final chance to really smash the door down for those on the outside: the likes of Prithvi Shaw, R Ashwin, Sanju Samson among others. Players not in form, like KL Rahul, will be desperate to regain it. And the focus will be to stay away from injuries as well. What're your predictions for the player to watch out for this time around. Go ahead, tell us in the comments that've now been enabled."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,17,1,"But in the times we're living in, the IPL does come as a much-needed respite for many. TV figures for the 2020 edition were through the roof, with nearly half of India's audience tuning into the competition. Fingers crossed this season runs as smoothly as that one did, although it's going to be a hell of a challenge over the next couple of months. Anyway, thanks for joining us today. This is Sagar Chawla welcoming you to our live coverage as we get ready for everything that the cricket has to offer."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,18,1,"5.30pm IST: Hello to everyone joining in early for a whole new season of the IPL. Only around five months since the night when Mumbai Indians lifted their .. fifth, was it? .. trophy, the tournament is back again, raising anticipation levels and scoffing at the very idea of viewer fatigue. And it's back home too as it returns from the UAE where it had been moved last year due to the pandemic. The threat of Covid-19 has gone nowhere though. It has only intensified in the form of a second wave that's hit India hard these last few weeks. Concerns have been growing along with the tally of positive cases in and around the IPL; spectators, who briefly made a return, are once again banned from stadiums; the tournament itself will follow a caravan format across six cities; and, of course, there are the intricately layered bio-bubbles that franchises have to contend with."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,19,1,"Preview by Aayush Puthran

Rohit Sharma vs Virat Kohli - is as much a Friday blockbuster can offer in the times of lockdowns and OTTs.

Beyond the marketing gimmicks and fan-club pleasing scheduling though, comes a highly valued cricket match between two teams - one that aims to strengthen its legacy and the other that wishes to halt it.

The journey of Mumbai Indians though has come to a point where there are more ghosts to fear in the Indian Premier League opener than in the final. Several of their players have laughed off the thought of what ails them in the first stop and suggest that the winless run since 2012 is beyond their understanding. What Mumbai Indians would be out to fix in the tournament opener, is what Royal Challengers Bangalore would be doing with respect to their fortunes in the competition: try to figure out what is going wrong!

While the defending champions have retained their core unit, RCB spent big bucks at the 2021 auction to acquire the services of Glenn Maxwell and Kyle Jamieson to strengthen them further. Yet, much like most of the seasons, where they seemed to have assembled a strong squad, the winning formula is yet to be discovered.

Mumbai Indians’ second-best win percentage is against RCB (among all teams against whom they have played more than six matches), and yet despite their dominance, Virat Kohli’s side managed to run them close twice last year and even become one of only three teams to beat MI’s full-strength XI.

A good reason for their dominance has come at the back of being able to control Kohli in recent years. The RCB skipper hasn’t managed to break free easily against the five-time champions and the challenge will get stiffer in Chennai, where his scoring rate has only been 111.49. AB de Villiers though enjoys his time in Chepauk, where he has scored 228 runs at a strike rate of 152. What’s to be expected out of their new recruit Maxwell remains unknown, not just for his unpredictability but also because he is yet to play at the venue.

Despite MI’s recent dominance in Chennai, their top-order hasn’t enjoyed a good run either. They can, however, rely more on their least appreciated front - the spin department. Krunal Pandya and Rahul Chahar have conceded runs at marginally over 4 every six balls. But much like RCB’s quest to find answers, MI too have reasons to wonder: in the vast pool of talent and ideas, is there enough to break the first-match jinx?

What to expect: Even as Chennai has traditionally played slow and helped the spinners, the tournament opener is the flattest pitch that is likely to be on offer this season. However, with neither team boasting of a top-class spin attack, mid-range scores could be on the cards.

When: Friday, April 9, 2021, 7:30 PM IST

Where: Mumbai Indians vs Royal Challengers Bangalore, Chennai

Team News:

Mumbai Indians: Although Quinton de Kock has taken a bubble to bubble transfer from South Africa, MI have stated on their website that a new opening pair will feature on Friday. Mumbai Indians could be tempted to break away from their set format and play an additional spinner, especially given Virat Kohli and AB de Villiers’ ailings against leggies.

Probable XI: Ishan Kishan (wk), Rohit Sharma, Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Piyush Chawla/Jayant Yadav, Rahul Chahar, Trent Boult, Jasprit Bumrah

Royal Challengers Bangalore: Devdutt Padikkal has resumed training and could be available for the opening match. Kane Richardson and Adam Zampa are unlikely to be available for selection. The number five slot could be up for grabs for one of the three uncapped Indian players. Shahbaz Ahmed could also be in contention.

B6$ Devdutt Padikkal, Virat Kohli (c), Glenn Maxwell, AB de Villiers, Mohammad Azharuddin/Rajat Patidar, Daniel Christian, Washington Sundar, Kyle Jamieson, Navdeep Saini, Mohammad Siraj, Yuzvendra Chahal.

Did you know?

Royal Challengers Bangalore’s 37.04 percent success rate against Mumbai Indians is the second worst for them against any team. The worst is against Chennai Super Kings (34.62)

Barring Yuzvendra Chahal, none of the RCB spinners have played an IPL game in Chennai. The leggie's economy rate of 5.25, fairly higher than Mumbai’s spin duo of Krunal (4.00) and Chahar (4.38).

Mumbai Indians’ top order has a low scoring rate in Chennai. Ishan Kishan (90.32), Rohit Sharma (119.69) and Suryakumar Yadav (108.75) would look to better on that pace.

What they said:


""Having done well last year in such a competitive scenario and space, we're very confident that as a side, with a stronger squad this time around, we'll have another great season. Just playing in set venues with four teams, I think that's going to nullify all the home advantage that every team used to have."" - Virat Kohli, RCB skipper."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,20,1,"Royal Challengers Bangalore Squad: Virat Kohli(c), Devdutt Padikkal, AB de Villiers(w), Glenn Maxwell, Mohammed Azharuddeen, Daniel Christian, Washington Sundar, Kyle Jamieson, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal, Kane Richardson, Harshal Patel, Adam Zampa, Sachin Baby, Srikar Bharat, Pavan Deshpande, Rajat Patidar, Finn Allen, Suyash Prabhudessai, Shahbaz Ahmed"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,21,1,"Mumbai Indians Squad: Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Kieron Pollard, Krunal Pandya, James Neesham, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah, Piyush Chawla, Dhawal Kulkarni, Saurabh Tiwary, Aditya Tare, Adam Milne, Chris Lynn, Jayant Yadav, Anmolpreet Singh, Quinton de Kock, Anukul Roy, Mohsin Khan, Arjun Tendulkar, Marco Jansen, Yudhvir Singh"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,1,1,Welcome back! Virat Kohli is back at the top for RCB and it's gonna be Washington Sundar who will open alongside him. Trent Boult to kickstart proceedings with the ball. Two slips in place. Off we go...
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,2,1,Welcome back! Virat Kohli is back at the top for RCB and it's gonna be Washington Sundar who will open alongside him. Trent Boult to kickstart proceedings with the ball. Two slips in place. Off we go...
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,3,1,Welcome back! Virat Kohli is back at the top for RCB and it's gonna be Washington Sundar who will open alongside him. Trent Boult to kickstart proceedings with the ball. Two slips in place. Off we go...
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,4,1,Welcome back! Virat Kohli is back at the top for RCB and it's gonna be Washington Sundar who will open alongside him. Trent Boult to kickstart proceedings with the ball. Two slips in place. Off we go...
