name,href,role,profile_id
Jason behrendorff,https://www.cricbuzz.com/profiles/7773/jason-behrendorff,bench,7773
Krishnappa gowtham,https://www.cricbuzz.com/profiles/8925/krishnappa-gowtham,bench,8925
Bhagath varma,https://www.cricbuzz.com/profiles/19253/bhagath-varma,bench,19253
Harishankar reddy,https://www.cricbuzz.com/profiles/13521/harishankar-reddy,bench,13521
Km asif,https://www.cricbuzz.com/profiles/13483/km-asif,bench,13483
N jagadeesan,https://www.cricbuzz.com/profiles/11675/n-jagadeesan,bench,11675
Hari nishanth,https://www.cricbuzz.com/profiles/11623/hari-nishanth,bench,11623
Ravisrinivasan sai kishore,https://www.cricbuzz.com/profiles/11595/ravisrinivasan-sai-kishore,bench,11595
Mitchell santner,https://www.cricbuzz.com/profiles/10100/mitchell-santner,bench,10100
Lungi ngidi,https://www.cricbuzz.com/profiles/9603/lungi-ngidi,bench,9603
Ishant sharma,https://www.cricbuzz.com/profiles/702/ishant-sharma,bench,702
Umesh yadav,https://www.cricbuzz.com/profiles/1858/umesh-yadav,bench,1858
Steven smith,https://www.cricbuzz.com/profiles/2250/steven-smith,bench,2250
Sam billings,https://www.cricbuzz.com/profiles/7990/sam-billings,bench,7990
Axar patel,https://www.cricbuzz.com/profiles/8808/axar-patel,bench,8808
Lukman meriwala,https://www.cricbuzz.com/profiles/9244/lukman-meriwala,bench,9244
Kagiso rabada,https://www.cricbuzz.com/profiles/9585/kagiso-rabada,bench,9585
Praveen dubey,https://www.cricbuzz.com/profiles/10484/praveen-dubey,bench,10484
Anrich nortje,https://www.cricbuzz.com/profiles/11427/anrich-nortje,bench,11427
Vishnu vinod,https://www.cricbuzz.com/profiles/11893/vishnu-vinod,bench,11893
Manimaran siddharth,https://www.cricbuzz.com/profiles/12930/manimaran-siddharth,bench,12930
Lalit yadav,https://www.cricbuzz.com/profiles/13252/lalit-yadav,bench,13252
Ripal patel,https://www.cricbuzz.com/profiles/15516/ripal-patel,bench,15516
David warner,https://www.cricbuzz.com/profiles/1739/david-warner,captain,1739
Jonny bairstow,https://www.cricbuzz.com/profiles/6507/jonny-bairstow,playing_11,6507
Wriddhiman saha,https://www.cricbuzz.com/profiles/1465/wriddhiman-saha,wicket_keeper,1465
Manish pandey,https://www.cricbuzz.com/profiles/1836/manish-pandey,playing_11,1836
Vijay shankar,https://www.cricbuzz.com/profiles/8204/vijay-shankar,playing_11,8204
Abdul samad,https://www.cricbuzz.com/profiles/14628/abdul-samad,playing_11,14628
Mohammad nabi,https://www.cricbuzz.com/profiles/3007/mohammad-nabi,playing_11,3007
Rashid khan,https://www.cricbuzz.com/profiles/10738/rashid-khan,playing_11,10738
Bhuvneshwar kumar,https://www.cricbuzz.com/profiles/1726/bhuvneshwar-kumar,playing_11,1726
T natarajan,https://www.cricbuzz.com/profiles/10225/t-natarajan,playing_11,10225
Sandeep sharma,https://www.cricbuzz.com/profiles/8356/sandeep-sharma,playing_11,8356
Shubman gill,https://www.cricbuzz.com/profiles/11808/shubman-gill,playing_11,11808
Rahul tripathi,https://www.cricbuzz.com/profiles/9012/rahul-tripathi,playing_11,9012
Nitish rana,https://www.cricbuzz.com/profiles/9204/nitish-rana,playing_11,9204
Eoin morgan,https://www.cricbuzz.com/profiles/624/eoin-morgan,captain,624
Dinesh karthik,https://www.cricbuzz.com/profiles/145/dinesh-karthik,wicket_keeper,145
Andre russell,https://www.cricbuzz.com/profiles/7736/andre-russell,playing_11,7736
Shakib al hasan,https://www.cricbuzz.com/profiles/544/shakib-al-hasan,playing_11,544
Pat cummins,https://www.cricbuzz.com/profiles/8095/pat-cummins,playing_11,8095
Harbhajan singh,https://www.cricbuzz.com/profiles/75/harbhajan-singh,playing_11,75
Prasidh krishna,https://www.cricbuzz.com/profiles/10551/prasidh-krishna,playing_11,10551
Varun chakaravarthy,https://www.cricbuzz.com/profiles/12926/varun-chakaravarthy,playing_11,12926
Kane williamson,https://www.cricbuzz.com/profiles/6326/kane-williamson,bench,6326
Shreevats goswami,https://www.cricbuzz.com/profiles/1807/shreevats-goswami,bench,1807
Siddarth kaul,https://www.cricbuzz.com/profiles/1828/siddarth-kaul,bench,1828
