match_no,match_name,match_type,match_date,match_time,match_venue,match_href,match_team1,match_team2,winning_team
31,SUNRISERS HYDERABAD vs MUMBAI INDIANS,League,"May 04,2021",7:30 PM,"Arun Jaitley Stadium, Delhi",https://www.cricbuzz.com/cricket-scores/35723/srh-vs-mi-31st-match-indian-premier-league-2021,SUNRISERS HYDERABAD,MUMBAI INDIANS,MATCH POSTPONED DUE TO COVID-19 PANDEMIC
32,CHENNAI SUPER KINGS vs MUMBAI INDIANS,League,"Sep 19,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37556/csk-vs-mi-30th-match-indian-premier-league-2021,CHENNAI SUPER KINGS,MUMBAI INDIANS,CHENNAI SUPER KINGS
33,KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BENGALURU,League,"Sep 20,2021",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",https://www.cricbuzz.com/cricket-scores/37557/kkr-vs-rcb-31st-match-indian-premier-league-2021,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS
34,PUNJAB KINGS vs RAJASTHAN ROYALS,League,"Sep 21,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37562/pbks-vs-rr-32nd-match-indian-premier-league-2021,PUNJAB KINGS,RAJASTHAN ROYALS,RAJASTHAN ROYALS
35,DELHI CAPITALS vs SUNRISERS HYDERABAD,League,"Sep 22,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37567/dc-vs-srh-33rd-match-indian-premier-league-2021,DELHI CAPITALS,SUNRISERS HYDERABAD,DELHI CAPITALS
36,MUMBAI INDIANS vs KOLKATA KNIGHT RIDERS,League,"Sep 23,2021",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",https://www.cricbuzz.com/cricket-scores/37572/mi-vs-kkr-34th-match-indian-premier-league-2021,MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,KOLKATA KNIGHT RIDERS
37,ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS,League,"Sep 24,2021",7:30 PM,"Sharjah Cricket Stadium, Sharjah",https://www.cricbuzz.com/cricket-scores/37577/rcb-vs-csk-35th-match-indian-premier-league-2021,ROYAL CHALLENGERS BENGALURU,CHENNAI SUPER KINGS,CHENNAI SUPER KINGS
38,DELHI CAPITALS vs RAJASTHAN ROYALS,League,"Sep 25,2021",3:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",https://www.cricbuzz.com/cricket-scores/37581/dc-vs-rr-36th-match-indian-premier-league-2021,DELHI CAPITALS,RAJASTHAN ROYALS,DELHI CAPITALS
39,SUNRISERS HYDERABAD vs PUNJAB KINGS,League,"Sep 25,2021",7:30 PM,"Sharjah Cricket Stadium, Sharjah",https://www.cricbuzz.com/cricket-scores/37582/srh-vs-pbks-37th-match-indian-premier-league-2021,SUNRISERS HYDERABAD,PUNJAB KINGS,PUNJAB KINGS
40,CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS,League,"Sep 26,2021",3:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",https://www.cricbuzz.com/cricket-scores/37586/csk-vs-kkr-38th-match-indian-premier-league-2021,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS
41,ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS,League,"Sep 26,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37591/rcb-vs-mi-39th-match-indian-premier-league-2021,ROYAL CHALLENGERS BENGALURU,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE
42,SUNRISERS HYDERABAD vs RAJASTHAN ROYALS,League,"Sep 27,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37596/srh-vs-rr-40th-match-indian-premier-league-2021,SUNRISERS HYDERABAD,RAJASTHAN ROYALS,SUNRISERS HYDERABAD
43,KOLKATA KNIGHT RIDERS vs DELHI CAPITALS,League,"Sep 28,2021",3:30 PM,"Sharjah Cricket Stadium, Sharjah",https://www.cricbuzz.com/cricket-scores/37601/kkr-vs-dc-41st-match-indian-premier-league-2021,KOLKATA KNIGHT RIDERS,DELHI CAPITALS,KOLKATA KNIGHT RIDERS
44,MUMBAI INDIANS vs PUNJAB KINGS,League,"Sep 28,2021",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",https://www.cricbuzz.com/cricket-scores/37606/mi-vs-pbks-42nd-match-indian-premier-league-2021,MUMBAI INDIANS,PUNJAB KINGS,MUMBAI INDIANS
45,RAJASTHAN ROYALS vs ROYAL CHALLENGERS BENGALURU,League,"Sep 29,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37611/rr-vs-rcb-43rd-match-indian-premier-league-2021,RAJASTHAN ROYALS,ROYAL CHALLENGERS BENGALURU,ROYAL CHALLENGERS BANGALORE
46,SUNRISERS HYDERABAD vs CHENNAI SUPER KINGS,League,"Sep 30,2021",7:30 PM,"Sharjah Cricket Stadium, Sharjah",https://www.cricbuzz.com/cricket-scores/37616/srh-vs-csk-44th-match-indian-premier-league-2021,SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,CHENNAI SUPER KINGS
47,KOLKATA KNIGHT RIDERS vs PUNJAB KINGS,League,"Oct 01,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37617/kkr-vs-pbks-45th-match-indian-premier-league-2021,KOLKATA KNIGHT RIDERS,PUNJAB KINGS,PUNJAB KINGS
48,MUMBAI INDIANS vs DELHI CAPITALS,League,"Oct 02,2021",3:30 PM,"Sharjah Cricket Stadium, Sharjah",https://www.cricbuzz.com/cricket-scores/37621/mi-vs-dc-46th-match-indian-premier-league-2021,MUMBAI INDIANS,DELHI CAPITALS,DELHI CAPITALS
49,RAJASTHAN ROYALS vs CHENNAI SUPER KINGS,League,"Oct 02,2021",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",https://www.cricbuzz.com/cricket-scores/37626/rr-vs-csk-47th-match-indian-premier-league-2021,RAJASTHAN ROYALS,CHENNAI SUPER KINGS,RAJASTHAN ROYALS
