,year,series_type,series_name,series_href
2172,2007,International,"South Africa in Pakistan Test Series, 2007",https://www.cricbuzz.com/cricket-series/1568/south-africa-in-pakistan-test-series-2007/matches
2173,2007,International,Australia in India ODI Series,https://www.cricbuzz.com/cricket-series/923/australia-in-india-odi-series/matches
2174,2007,International,"ICC World T20, 2007",https://www.cricbuzz.com/cricket-series/415/icc-world-t20-2007/matches
2175,2007,International,"Bangladesh, Kenya, Pakistan, Uganda in Kenya, 2007",https://www.cricbuzz.com/cricket-series/414/bangladesh-kenya-pakistan-uganda-in-kenya-2007/matches
2176,2007,International,South Africa in Zimbabwe ODI Series,https://www.cricbuzz.com/cricket-series/920/south-africa-in-zimbabwe-odi-series/matches
2177,2007,International,India in England,https://www.cricbuzz.com/cricket-series/921/india-in-england/matches
2178,2007,International,Bermuda in Netherlands ODI Series,https://www.cricbuzz.com/cricket-series/919/bermuda-in-netherlands-odi-series/matches
2179,2007,International,India in Scotland ODI Match,https://www.cricbuzz.com/cricket-series/918/india-in-scotland-odi-match/matches
2180,2007,International,Bangladesh in Sri Lanka ODI Series,https://www.cricbuzz.com/cricket-series/917/bangladesh-in-sri-lanka-odi-series/matches
2181,2007,International,"India in England, 2007",https://www.cricbuzz.com/cricket-series/1567/india-in-england-2007/matches
2182,2007,International,"Ireland, Netherlands, Scotland, West Indies in Ireland",https://www.cricbuzz.com/cricket-series/916/ireland-netherlands-scotland-west-indies-in-ireland/matches
2183,2007,International,"India, Pakistan in Scotland",https://www.cricbuzz.com/cricket-series/913/india-pakistan-in-scotland/matches
2184,2007,International,Netherlands in Canada ODI Series,https://www.cricbuzz.com/cricket-series/914/netherlands-in-canada-odi-series/matches
2185,2007,International,West Indies in England,https://www.cricbuzz.com/cricket-series/915/west-indies-in-england/matches
2186,2007,International,Pakistan in Scotland ODI Match,https://www.cricbuzz.com/cricket-series/912/pakistan-in-scotland-odi-match/matches
2187,2007,International,"West Indies in England T20I Series, 2007",https://www.cricbuzz.com/cricket-series/413/west-indies-in-england-t20i-series-2007/matches
2188,2007,International,"India, South Africa in Ireland, 2007",https://www.cricbuzz.com/cricket-series/911/india-south-africa-in-ireland-2007/matches
2189,2007,International,"Bangladesh in Sri Lanka Test Series, 2007",https://www.cricbuzz.com/cricket-series/1566/bangladesh-in-sri-lanka-test-series-2007/matches
2190,2007,International,South Africa in Ireland ODI Match,https://www.cricbuzz.com/cricket-series/910/south-africa-in-ireland-odi-match/matches
2191,2007,International,India in Ireland ODI Match,https://www.cricbuzz.com/cricket-series/909/india-in-ireland-odi-match/matches
2192,2007,International,"Africa XI, Asia XI in India",https://www.cricbuzz.com/cricket-series/908/africa-xi-asia-xi-in-india/matches
2193,2007,International,"India in Bangladesh Test Series, 2007",https://www.cricbuzz.com/cricket-series/1564/india-in-bangladesh-test-series-2007/matches
2194,2007,International,"Pakistan, Sri Lanka in United Arab Emirates, 2007",https://www.cricbuzz.com/cricket-series/907/pakistan-sri-lanka-in-united-arab-emirates-2007/matches
2195,2007,International,"West Indies in England, 2007",https://www.cricbuzz.com/cricket-series/1565/west-indies-in-england-2007/matches
2196,2007,International,India in Bangladesh ODI Series,https://www.cricbuzz.com/cricket-series/906/india-in-bangladesh-odi-series/matches
2197,2007,International,"ICC World Cup, 2007",https://www.cricbuzz.com/cricket-series/905/icc-world-cup-2007/matches
2198,2007,International,"Bangladesh, Bermuda, Canada in West Indies",https://www.cricbuzz.com/cricket-series/904/bangladesh-bermuda-canada-in-west-indies/matches
2199,2007,International,Australia in New Zealand,https://www.cricbuzz.com/cricket-series/903/australia-in-new-zealand/matches
2200,2007,International,Sri Lanka in India ODI Series,https://www.cricbuzz.com/cricket-series/902/sri-lanka-in-india-odi-series/matches
2201,2007,International,Bangladesh in Zimbabwe ODI Series,https://www.cricbuzz.com/cricket-series/899/bangladesh-in-zimbabwe-odi-series/matches
2202,2007,International,Pakistan in South Africa ODI Series,https://www.cricbuzz.com/cricket-series/901/pakistan-in-south-africa-odi-series/matches
2203,2007,International,"Pakistan in South Africa T20I Match, 2007",https://www.cricbuzz.com/cricket-series/412/pakistan-in-south-africa-t20i-match-2007/matches
2204,2007,International,"Bermuda, Canada, Ireland, Kenya, Netherlands, Scotland in Kenya",https://www.cricbuzz.com/cricket-series/898/bermuda-canada-ireland-kenya-netherlands-scotland-in-kenya/matches
2205,2007,International,West Indies in India ODI Series,https://www.cricbuzz.com/cricket-series/897/west-indies-in-india-odi-series/matches
2206,2007,International,"Canada, Kenya, Scotland in Kenya",https://www.cricbuzz.com/cricket-series/896/canada-kenya-scotland-in-kenya/matches
2207,2007,International,"Australia, England, New Zealand in Australia, 2007",https://www.cricbuzz.com/cricket-series/900/australia-england-new-zealand-in-australia-2007/matches
2208,2007,International,"Pakistan in South Africa Test Series, 2007",https://www.cricbuzz.com/cricket-series/1563/pakistan-in-south-africa-test-series-2007/matches
2209,2007,International,"England in Australia T20I Match, 2007",https://www.cricbuzz.com/cricket-series/411/england-in-australia-t20i-match-2007/matches
2210,2007,Women,"Womens European Championship, 2007",https://www.cricbuzz.com/cricket-series/5798/womens-european-championship-2007/matches
2211,2007,Women,"New Zealand Women tour of England, 2007",https://www.cricbuzz.com/cricket-series/5654/new-zealand-women-tour-of-england-2007/matches
2212,2007,Women,"South Africa Women tour of England, 2007",https://www.cricbuzz.com/cricket-series/5288/south-africa-women-tour-of-england-2007/matches
2213,2007,Women,"South Africa Women tour of Netherlands, 2007",https://www.cricbuzz.com/cricket-series/3763/south-africa-women-tour-of-netherlands-2007/matches
2214,2007,Women,"New Zealand Women tour of Australia, 2007",https://www.cricbuzz.com/cricket-series/5714/new-zealand-women-tour-of-australia-2007/matches
2215,2007,Women,Womens Quadrangular Series in India 2007,https://www.cricbuzz.com/cricket-series/5770/womens-quadrangular-series-in-india-2007/matches
